Scan.Type,Scan.Date,Latitude,Longitude,Run.No.
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:41,,,WCP110  
Delivery,9/05/2019 4:46,,,WCP110  
Delivery,9/05/2019 4:46,,,WCP110  
Delivery,9/05/2019 4:46,,,WCP110  
Delivery,9/05/2019 4:46,,,WCP110  
Delivery,9/05/2019 4:46,,,WCP110  
Delivery,9/05/2019 4:46,,,WCP110  
Delivery,9/05/2019 4:55,,,WCP110  
Delivery,9/05/2019 4:55,,,WCP110  
Delivery,9/05/2019 4:55,,,WCP110  
Delivery,9/05/2019 4:55,,,WCP110  
Delivery,9/05/2019 4:57,,,WCP110  
Delivery,9/05/2019 4:57,,,WCP110  
Delivery,9/05/2019 4:57,,,WCP110  
Delivery,9/05/2019 4:57,,,WCP110  
Delivery,9/05/2019 4:57,,,WCP110  
Delivery,9/05/2019 5:02,,,WCP110  
Delivery,9/05/2019 5:02,,,WCP110  
Delivery,9/05/2019 5:02,,,WCP110  
Delivery,9/05/2019 5:02,,,WCP110  
Delivery,9/05/2019 5:02,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Delivery,9/05/2019 5:03,,,WCP110  
Acceptance,9/05/2019 5:04,,,WCP110  
Delivery,9/05/2019 5:07,,,WCP107  
Delivery,9/05/2019 5:07,,,WCP107  
Delivery,9/05/2019 5:07,,,WCP107  
Delivery,9/05/2019 5:07,,,WCP107  
Delivery,9/05/2019 5:07,,,WCP107  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
Delivery,9/05/2019 5:08,,,WCP110  
