Scan.Type,Scan.Date,Scan Entered into CME,Latitude,Longitude,Run.No.
Out for Delivery,9/05/2019 6:13,9/05/2019 6:15,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:13,9/05/2019 6:15,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:13,9/05/2019 6:15,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:13,9/05/2019 6:15,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:14,9/05/2019 6:15,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:14,9/05/2019 6:15,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:15,9/05/2019 6:16,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:15,9/05/2019 6:16,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:16,9/05/2019 6:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:16,9/05/2019 6:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:17,9/05/2019 6:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:17,9/05/2019 6:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:17,9/05/2019 6:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:18,9/05/2019 6:20,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:18,9/05/2019 6:20,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:19,9/05/2019 6:20,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:19,9/05/2019 6:20,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:20,9/05/2019 6:20,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:20,9/05/2019 6:20,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:20,9/05/2019 6:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:22,9/05/2019 6:23,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:22,9/05/2019 6:23,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:23,9/05/2019 6:24,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:23,9/05/2019 6:24,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:24,9/05/2019 6:24,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:24,9/05/2019 6:24,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:24,9/05/2019 6:25,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:24,9/05/2019 6:25,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:24,9/05/2019 6:25,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:25,9/05/2019 6:25,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:25,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:26,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:26,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:26,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:26,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:26,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:26,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:27,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:27,9/05/2019 6:28,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:28,9/05/2019 6:29,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:28,9/05/2019 6:29,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:28,9/05/2019 6:29,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:30,9/05/2019 6:32,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:31,9/05/2019 6:32,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:31,9/05/2019 6:32,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:31,9/05/2019 6:32,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:31,9/05/2019 6:32,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:33,9/05/2019 6:33,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:33,9/05/2019 6:33,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:33,9/05/2019 6:33,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:34,9/05/2019 6:34,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:34,9/05/2019 6:35,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:35,9/05/2019 6:36,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:36,9/05/2019 6:36,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:36,9/05/2019 6:36,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:36,9/05/2019 6:37,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:36,9/05/2019 6:37,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:37,9/05/2019 6:37,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:37,9/05/2019 6:37,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:37,9/05/2019 6:38,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:38,9/05/2019 6:38,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:40,9/05/2019 6:41,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:40,9/05/2019 6:41,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:40,9/05/2019 6:41,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:41,9/05/2019 6:42,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:44,9/05/2019 6:45,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:44,9/05/2019 6:45,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:45,9/05/2019 6:46,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:46,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:47,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:47,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:47,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:48,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:48,9/05/2019 6:49,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:49,9/05/2019 6:49,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:49,9/05/2019 6:49,-41.2583585,174.7876374,WCP306  
In Depot,9/05/2019 6:54,9/05/2019 6:54,-41.2583585,174.7876374,WCP306  
In Depot,9/05/2019 6:54,9/05/2019 6:54,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:55,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:55,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:56,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:56,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:56,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:59,9/05/2019 7:00,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:59,9/05/2019 7:00,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:59,9/05/2019 7:00,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
